Event ID,Season,MatchDay,Year,Month,Day,Date,Home Team,Away Team,Home Score,Away Score,Home ML,Draw ML,Away ML,,,
,CL25,1,2025,1,10,1/10/25,MAZ,JUA,1,1,-120,275,310,,,
,CL25,1,2025,1,10,1/10/25,TIJ,TOL,2,4,170,250,150,,,
,CL25,1,2025,1,10,1/10/25,QRO,AME,0,1,100,255,260,,,
,CL25,1,2025,1,11,1/11/25,CAZ,ATLX,1,1,-260,360,750,,,
,CL25,1,2025,1,11,1/11/25,ASL,TIG,1,3,245,250,110,,,
,CL25,1,2025,1,11,1/11/25,GDL,SAN,1,0,-235,360,600,,,
,CL25,1,2025,1,12,1/12/25,MTY,PUE,1,1,-340,425,850,,,
,CL25,1,2025,1,12,1/12/25,PUM,NEC,2,1,-175,295,500,,,
,CL25,2,2025,1,16,1/16/25,AME,TIJ,1,1,130,240,200,,,
,CL25,2,2025,1,17,1/17/25,NEC,GDL,3,2,155,230,170,,,
,CL25,2,2025,1,17,1/17/25,TIG,MAZ,2,1,-245,370,650,,,
,CL25,2,2025,1,17,1/17/25,PUE,ASL,1,2,190,235,140,,,
,CL25,2,2025,1,18,1/18/25,JUA,CAZ,1,0,380,290,-145,,,
,CL25,2,2025,1,18,1/18/25,ATLX,LEO,1,2,135,220,205,,,
,CL25,2,2025,1,18,1/18/25,TOL,MTY,1,1,-140,310,330,,,
,CL25,2,2025,1,19,1/19/25,QRO,PUM,3,2,245,245,105,,,
,CL25,2,2025,1,20,1/20/25,PAC,SAN,2,1,-270,400,650,,,
,CL25,3,2025,1,24,1/24/25,TIJ,QRO,2,1,-215,340,550,,,
,CL25,3,2025,1,24,1/24/25,ASL,NEC,0,3,145,245,180,,,
,CL25,3,2025,1,24,1/24/25,MAZ,TOL,2,1,210,245,125,,,
,CL25,3,2025,1,25,1/25/25,GDL,TIG,1,1,175,210,165,,,
,CL25,3,2025,1,25,1/25/25,SAN,AME,1,4,400,285,-155,,,
,CL25,3,2025,1,25,1/25/25,CAZ,PUE,1,1,-330,425,800,,,
,CL25,3,2025,1,25,1/25/25,MTY,PAC,2,3,-130,275,340,,,
,CL25,3,2025,1,25,1/25/25,LEO,JUA,1,0,-135,280,350,,,
,CL25,3,2025,1,26,1/26/25,PUM,ATLX,3,0,-135,250,390,,,
,CL25,4,2025,1,28,1/28/25,LEO,GDL,2,1,170,215,165,,,
,CL25,4,2025,1,28,1/28/25,TIG,TIJ,4,0,-195,350,475,,,
,CL25,4,2025,1,28,1/28/25,NEC,CAZ,1,3,245,225,120,,,
,CL25,4,2025,1,28,1/28/25,PUE,MAZ,0,1,150,225,195,,,
,CL25,4,2025,1,28,1/28/25,AME,ASL,3,0,-210,340,550,,,
,CL25,4,2025,1,29,1/29/25,JUA,SAN,1,0,-120,260,320,,,
,CL25,4,2025,1,29,1/29/25,PUM,TOL,1,1,150,220,175,,,
,CL25,4,2025,1,29,1/29/25,QRO,PAC,0,1,285,240,-105,,,
,CL25,4,2025,1,29,1/29/25,ATLX,MTY,3,2,255,235,110,,,
,CL25,5,2025,1,31,1/31/25,MAZ,LEO,1,2,160,220,180,,,
,CL25,5,2025,1,31,1/31/25,TIJ,CAZ,2,3,210,245,125,,,
,CL25,5,2025,2,1,2/1/25,AME,JUA,4,0,-285,400,750,,,
,CL25,5,2025,2,1,2/1/25,MTY,NEC,1,0,-155,310,400,,,
,CL25,5,2025,2,1,2/1/25,PAC,ATLX,0,0,-150,280,400,,,
,CL25,5,2025,2,1,2/1/25,TOL,TIG,1,0,110,230,260,,,
